City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
427,jutai,BR,-5.18,-68.9,92.86,46,91,2.59,overcast clouds
428,corn island,NI,12.17,-83.04,83.52,69,1,4.92,clear sky
429,bilma,NE,18.69,12.92,94.87,12,10,8.84,clear sky
430,nicoya,CR,10.15,-85.45,78.8,94,75,4.7,broken clouds
431,mehamn,NO,71.04,27.85,46.4,87,0,2.24,clear sky
432,ordzhonikidze,KZ,52.44,61.74,36.23,77,0,8.52,clear sky
433,nkowakowa,ZA,-23.89,30.29,73.4,40,64,3.36,broken clouds
434,zhucheng,CN,35.99,119.4,48.96,49,0,7.0,clear sky
435,sao gabriel da cachoeira,BR,-0.13,-67.09,89.24,59,58,2.37,moderate rain
436,barra do corda,BR,-5.5,-45.25,104.58,17,5,6.33,clear sky
437,saint-georges,GD,12.06,-61.75,86.0,74,40,17.22,scattered clouds
438,dabakala,CI,8.37,-4.43,75.79,88,99,0.56,moderate rain
439,mogadishu,SO,2.04,45.34,79.54,83,0,14.58,clear sky
440,the valley,AI,18.22,-63.06,86.0,79,20,13.87,few clouds
441,yevsino,RU,54.42,83.32,42.19,93,100,10.89,light rain
442,mastung,PK,29.8,66.84,60.62,27,0,2.98,clear sky
443,manzhouli,CN,49.6,117.43,31.69,92,0,7.34,clear sky
444,juneau,US,58.3,-134.42,50.0,87,90,18.34,fog
445,ancud,CL,-41.87,-73.82,53.6,62,75,8.05,broken clouds
446,atambua,ID,-9.11,124.89,69.73,78,100,3.96,overcast clouds
447,lucea,JM,18.45,-78.17,89.6,66,20,25.28,few clouds
448,palmer,US,42.16,-72.33,66.99,34,40,5.82,scattered clouds
449,cukai,MY,4.25,103.42,75.2,94,100,3.27,overcast clouds
450,boa vista,BR,2.82,-60.67,93.2,44,75,9.17,broken clouds
451,champerico,GT,14.3,-91.92,86.0,62,75,4.7,broken clouds
452,port lincoln,AU,-34.73,135.87,50.25,72,6,13.42,clear sky
453,santa cruz,BO,-17.8,-63.17,91.4,33,1,5.82,clear sky
454,umm lajj,SA,25.02,37.27,83.17,66,0,9.42,clear sky
455,timmins,CA,48.47,-81.33,44.6,52,75,5.82,broken clouds
456,kosa,RU,59.94,55.0,30.6,96,84,3.58,broken clouds
457,lafia,NG,8.48,8.52,79.27,85,99,3.74,light rain
458,pringsewu,ID,-5.36,104.97,74.43,93,100,4.34,overcast clouds
459,tabou,CI,4.42,-7.35,77.81,82,33,9.08,scattered clouds
460,acapulco,MX,16.86,-99.89,87.8,70,40,6.93,scattered clouds
461,baherden,TM,38.44,57.43,61.74,29,0,5.01,clear sky
462,qasigiannguit,GL,68.82,-51.19,30.2,54,0,3.98,clear sky
463,alyangula,AU,-13.85,136.42,73.4,94,0,8.99,clear sky
464,polson,US,47.69,-114.16,66.0,52,0,3.62,clear sky
465,dukat,RU,62.55,155.55,28.56,96,90,4.16,overcast clouds
466,umri,IN,26.51,78.94,78.08,32,0,2.71,clear sky
467,birao,CF,10.28,22.79,75.76,79,24,1.14,few clouds
468,sauk rapids,US,45.59,-94.17,54.0,43,20,6.93,few clouds
469,ventspils,LV,57.39,21.56,66.2,72,85,12.75,overcast clouds
470,thinadhoo,MV,0.53,72.93,83.21,70,84,6.82,broken clouds
471,kutum,SD,14.2,24.67,80.42,44,28,4.83,scattered clouds
472,north miami,US,25.89,-80.19,89.01,62,75,12.75,broken clouds
473,a coruna,ES,43.37,-8.4,57.2,82,40,8.05,scattered clouds
474,chernyshevskiy,RU,63.01,112.47,36.73,96,100,8.72,overcast clouds
475,wilmington,US,34.23,-77.94,62.6,82,90,6.93,overcast clouds
476,shahr-e babak,IR,30.12,55.12,64.65,27,0,9.6,clear sky
477,hoyvik,FO,62.03,-6.78,50.0,93,100,8.05,overcast clouds
478,panaba,MX,21.28,-88.27,83.25,82,100,19.39,light rain
479,lewistown,US,40.6,-77.57,62.6,48,20,5.82,few clouds
480,las varas,MX,21.17,-105.17,89.01,45,5,6.93,clear sky
481,teguldet,RU,57.31,88.17,44.13,87,100,4.79,light rain
482,acarau,BR,-2.89,-40.12,83.89,65,0,20.74,clear sky
483,sandviken,SE,60.62,16.77,54.0,98,100,12.08,overcast clouds
484,westport,US,41.14,-73.36,66.99,42,1,9.17,clear sky
485,cayenne,GF,4.93,-52.33,89.6,59,75,11.41,broken clouds
486,wanlaweyn,SO,2.62,44.89,80.28,72,50,16.15,scattered clouds
487,kolpashevo,RU,58.31,82.91,29.82,98,53,6.22,broken clouds
488,antsohihy,MG,-14.88,47.99,74.1,91,86,1.77,overcast clouds
489,pisco,PE,-13.7,-76.22,64.4,77,3,8.05,clear sky
490,isnos,CO,1.94,-76.24,71.85,52,44,2.64,scattered clouds
491,miandrivazo,MG,-19.52,45.47,78.96,59,1,4.36,clear sky
492,borogontsy,RU,62.67,131.17,26.29,94,64,3.83,broken clouds
493,waterloo,CA,43.47,-80.52,48.99,100,90,6.93,overcast clouds
494,mount gambier,AU,-37.83,140.77,44.6,100,75,2.24,broken clouds
